task,integration_method,homology_method,NMI_cluster/label,ARI_cluster/label,cLISI,silhouette,type,acc_loss_avg,acc_loss_avg_scaled,cLISI_scaled,silhouette_scaled,NMI_scaled,ARI_scaled,bio_score
hs_mf,seuratRPCA,one2one only,0.8103185089358551,0.6644486446778801,1,0.6251097917556763,seuratRPCA one2one only,0.0038274740746371827,0.9943907493815168,1,0.7386568398038331,0.8595032580254267,0.6556156257283838,0.9582013856830957
hs_mf_mm_xl_dr,harmony,stronger homology,0.7111611017028265,0.6794393946555725,0.9968573097141944,0.5237556248903275,harmony stronger homology,0.05453096538554158,0.9616435162170827,0.9736191879234392,0.8132993215930212,0.9878740896817854,1,0.9580544429335787
hs_mf_mm_xl,seuratRPCA,stronger homology,0.7511227050033695,0.6101776983599482,0.999362581799076,0.5675871968269348,seuratRPCA stronger homology,0.01704045059111378,0.9845547756159848,0.9925546319297424,0.8046282566214554,0.8805808827370821,0.7245770930782002,0.957760863711112
hs_mf_mm,scanorama,one2one only,0.756608066325068,0.5739573787188096,1,0.6403974294662476,scanorama one2one only,0.004020685352414094,0.9935971471978388,1,0.8960937651255727,0.7917203575492163,0.5678143052994606,0.9576591391569836
hs_mf,scanorama,one2one only,0.7794522598329056,0.6076338667064007,1,0.6670532077550888,scanorama one2one only,0.004935982219226476,0.9920466201037657,1,0.9427780417798215,0.7643642520459423,0.5510394028542356,0.9565463809170126
hs_mf_mm_xl,seuratRPCA,higher expression,0.7396450975540969,0.5795686792923684,0.9994952424469344,0.5714514404535294,seuratRPCA higher expression,0.01673615324432261,0.9850585933755314,0.9948960414438504,0.8259144264538819,0.8542068012580946,0.6728128015424646,0.9554383782353397
hs_mf_mm_xl,seuratRPCA,one2one only,0.7393773339661307,0.5925084504830453,0.999473748536206,0.5694919601082802,seuratRPCA one2one only,0.01755892278774911,0.9836963537360357,0.9945166821697365,0.8151206371789977,0.853591514603856,0.6946958317317387,0.954853316273045
hs_mf,seuratRPCA,higher expression,0.7870517784333337,0.6099821952511227,1,0.6446096450090408,seuratRPCA higher expression,0.003880950010466011,0.9942776654069485,1,0.8335545344619866,0.7877882399479336,0.5553618579978226,0.954257363945946
hs_mf,seuratRPCA,stronger homology,0.7870021305309315,0.6104666537334471,1,0.6402512192726135,seuratRPCA stronger homology,0.003578777223104068,0.994916661233233,1,0.8123438848559773,0.7876352102724533,0.5562535773713675,0.9537449626115764
hs_mf,scanorama,higher expression,0.7837251535327541,0.6151238142073528,1,0.6404223740100861,scanorama higher expression,0.004088084886981369,0.9938396434304272,1,0.8131768239455657,0.7775345876414242,0.5648257881423807,0.9528485747308103
hs_mf_mm,scanorama,stronger homology,0.753461656631102,0.5704653242406906,1,0.5977469906210899,scanorama stronger homology,0.0027105775625707227,0.9975348567837614,1,0.7093818523081323,0.7858684292798424,0.5626865544397516,0.9509247272283956
hs_mf_mm_xl_dr,harmony,one2one only,0.6961307693905403,0.6336082675836769,0.996496396220234,0.5219354424625635,harmony one2one only,0.055490037542743925,0.9601829049822357,0.9699834438046004,0.7970097159320723,0.9565368017198362,0.9140779677452819,0.9500267204458782
hs_mf_mm,scanorama,higher expression,0.7545288573282606,0.5707781964601449,1,0.5983164981007576,scanorama higher expression,0.0034014917294975964,0.9954582189992605,1,0.7118749997122805,0.7878532890203823,0.5631459776252541,0.9495102885173043
hs_mf,scanorama,stronger homology,0.7784742527597666,0.6092456468669049,1,0.6350346952676773,scanorama stronger homology,0.005078675973318458,0.9917448698565059,1,0.7869572270301318,0.7613497419100004,0.5540061288946616,0.9485115507769445
hs_mf_mm,scVI,one2one only,0.7549423883107003,0.6889676905709644,0.9981726277184146,0.5606981962919235,scVI one2one only,0.0036731507839952346,0.994641710257544,0.9670750876708387,0.5471924014119199,0.7886224048958647,0.7366960421596975,0.9476926650129512
hs_mf_mm,fastMNN,higher expression,0.8032566891130845,0.715709322310304,1,0.6470688952406115,fastMNN higher expression,0.016056454612468258,0.9574219833245409,1,0.9252996108274161,0.8784809580342909,0.7759635925374587,0.9449247947295911
